REF_DATE,GEO,DGUID,Flowers and plants,Output,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2008,Manitoba,2016A000246,Total potted plants [1151431 + 1151432],Sales,Dollars,81,units,0,v52221094,8.1.2,14478950,E,,,0
2008,Manitoba,2016A000246,Total cuttings [1151433],Production (number),Number,223,units,0,v52221105,8.2.1,,F,,,0
2008,Manitoba,2016A000246,Total cuttings [1151433],Sales,Dollars,81,units,0,v52221116,8.2.2,,F,,,0
2008,Manitoba,2016A000246,Total cut flowers [1151435],Production (number),Number,223,units,0,v52221127,8.3.1,,x,,,0
2008,Manitoba,2016A000246,Total cut flowers [1151435],Sales,Dollars,81,units,0,v52221138,8.3.2,,x,,,0
2008,Manitoba,2016A000246,Total ornamental bedding plants [115143411],Production (number),Number,223,units,0,v52221149,8.4.1,,F,,,0
2008,Manitoba,2016A000246,Total ornamental bedding plants [115143411],Sales,Dollars,81,units,0,v52221160,8.4.2,,F,,,0
2008,Manitoba,2016A000246,Total vegetable bedding plants [115143421],Production (number),Number,223,units,0,v52221171,8.5.1,4042000,,,,0
2008,Manitoba,2016A000246,Total vegetable bedding plants [115143421],Sales,Dollars,81,units,0,v52221182,8.5.2,1809100,,,,0
2008,Saskatchewan,2016A000247,Total potted plants [1151431 + 1151432],Production (number),Number,223,units,0,v52221084,9.1.1,2778825,,,,0
2008,Saskatchewan,2016A000247,Total potted plants [1151431 + 1151432],Sales,Dollars,81,units,0,v52221095,9.1.2,5427800,,,,0
2008,Saskatchewan,2016A000247,Total cuttings [1151433],Production (number),Number,223,units,0,v52221106,9.2.1,63800,E,,,0
2008,Saskatchewan,2016A000247,Total cuttings [1151433],Sales,Dollars,81,units,0,v52221117,9.2.2,7000,,,,0
2008,Saskatchewan,2016A000247,Total cut flowers [1151435],Production (number),Number,223,units,0,v52221128,9.3.1,,x,,,0
2008,Saskatchewan,2016A000247,Total cut flowers [1151435],Sales,Dollars,81,units,0,v52221139,9.3.2,,x,,,0
2008,Saskatchewan,2016A000247,Total ornamental bedding plants [115143411],Production (number),Number,223,units,0,v52221150,9.4.1,14739000,,,,0
2008,Saskatchewan,2016A000247,Total ornamental bedding plants [115143411],Sales,Dollars,81,units,0,v52221161,9.4.2,6548000,,,,0
2008,Saskatchewan,2016A000247,Total vegetable bedding plants [115143421],Production (number),Number,223,units,0,v52221172,9.5.1,2454000,,,,0
